Name of Licensee (English),Name of Licensee (Chinese),Branch Name (English),Branch Name (Chinese),Address (English only),Address Type (English),Address Type (Chinese),As at (Date)
SHOPSELL HONG KONG LIMITED,易眾匯有限公司,,,,Correspondence Address,通訊地址,29/11/2023
SHUN FUNG (HONG KONG) MONEY EXCHANGE LIMITED,順豐(香港)匯兌有限公司,,,,Specified Premises,指明處所,29/11/2023
SHUN TAT EXCHANGE CO.,信達找換行,,,,Specified Premises,指明處所,29/11/2023
SHUN TUNG CENTURY LIMITED TRADING AS KONG FUNG EXCHANGE,順通世紀有限公司 營業名稱 港豐找換,KONG FUNG EXCHANGE,港豐找換,,Specified Premises,指明處所,29/11/2023
SIGUE GLOBAL SERVICES (HONG KONG) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
SILVER EXPRESS INVESTMENT LIMITED TRADING AS SILVER EXPRESS MONEY EXCHANGE,進銀投資有限公司 營業名稱 進銀貨幣兌換店,SILVER EXPRESS MONEY EXCHANGE,進銀貨幣兌換店,,Specified Premises,指明處所,29/11/2023
SILVER EXPRESS INVESTMENT LIMITED TRADING AS SILVER EXPRESS MONEY EXCHANGE,進銀投資有限公司 營業名稱 進銀貨幣兌換店,SILVER EXPRESS MONEY EXCHANGE,進銀兌換店,,Specified Premises,指明處所,29/11/2023
SINCERE WEALTH INTERNATIONAL COMPANY LIMITED TRADING AS TAI KAM SHING RENMINBI EXCHANGE CO.,富誠行國際有限公司 營業名稱 大金城人民幣找換行,TAI KAM SHING RENMINBI EXCHANGE CO.,大金城人民幣找換行,,Specified Premises,指明處所,29/11/2023
SING HIN HONG KONG LIMITED TRADING AS SING FAT R.M.B. MONEY EXCHANGE,昇軒香港有限公司 營業名稱 昇發人民幣找換行,SING FAT  R.M.B. MONEY EXCHANGE,昇發人民幣找換行,,Specified Premises,指明處所,29/11/2023
"SING KING INVESTMENT MANAGEMENT CO., LIMITED",盛景投資管理有限公司,HING YIP GROUP EXCHANGE AND REMITTANCE COMPANY,興業集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"SING KING INVESTMENT MANAGEMENT CO., LIMITED",盛景投資管理有限公司,WING FU GROUP EXCHANGE AND REMITTANCE COMPANY,永富集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"SING KING INVESTMENT MANAGEMENT CO., LIMITED",盛景投資管理有限公司,KA HING GROUP EXCHANGE AND REMITTANCE COMPANY,加興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"SING KING INVESTMENT MANAGEMENT CO., LIMITED",盛景投資管理有限公司,GREAT LUCK EXCHANGE AND REMITTANCE COMPANY,加旺找換匯款公司,,Specified Premises,指明處所,29/11/2023
"SING KING INVESTMENT MANAGEMENT CO., LIMITED",盛景投資管理有限公司,KA HING EXCHANGE AND REMITTANCE COMAPNY,加興找換匯款公司,,Specified Premises,指明處所,29/11/2023
SING YUEN APAC LIMITED TRADING AS RBE,勝源亞太有限公司 營業名稱 彩虹找換店,RBE,彩虹找換店,,Specified Premises,指明處所,29/11/2023
SINGAPORE EXCHANGE COMPANY LIMITED,,,,,Specified Premises,指明處所,29/11/2023
SINGH EXCHANGE LIMITED,,,,,Specified Premises,指明處所,29/11/2023
SINGLOH TECHNOLOGY LIMITED,新陸科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
SINGX (HK) CO LIMITED,昇毅香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
SINO ALLIED (HK) LIMITED,華融(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
SKY MOON LIMITED TRADING AS SKY MOON REMITTANCE EXCHANGE,天月有限公司 營業名稱 天月匯款找換,SKY MOON REMITTANCE EXCHANGE,天月匯款找換,,Specified Premises,指明處所,29/11/2023
SKY MOON LIMITED TRADING AS SKY MOON REMITTANCE EXCHANGE,天月有限公司 營業名稱 天月匯款找換,SKY MOON LIMITED,天月有限公司,,Specified Premises,指明處所,29/11/2023
SKY MOON LIMITED TRADING AS SKY MOON REMITTANCE EXCHANGE,天月有限公司 營業名稱 天月匯款找換,SKY MOON REMITTANCE EXCHANGE,天月匯款找換,,Specified Premises,指明處所,29/11/2023
SKY MOON LIMITED TRADING AS SKY MOON REMITTANCE EXCHANGE,天月有限公司 營業名稱 天月匯款找換,SKY MOON REMITTANCE EXCHANGE,天月匯款找換,,Specified Premises,指明處所,29/11/2023
SKY MOON LIMITED TRADING AS SKY MOON REMITTANCE EXCHANGE,天月有限公司 營業名稱 天月匯款找換,SKY MOON LIMITED,天月有限公司,,Specified Premises,指明處所,29/11/2023
SUN FUNG FOREIGN EXCHANGE COMPANY LIMITED TRADING AS SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,新豐外幣找換有限公司 營業名稱 三興行找換滙款公司,HING YIP GROUP EXCHANGE AND REMITTANCE COMPANY,興業集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"SUNING FINANCIAL SERVICES (HONG KONG) CO., LIMITED",蘇寧金融服務（香港）有限公司,,,,Correspondence Address,通訊地址,29/11/2023
SUNNY GOLDEN CORPORATION LIMITED TRADING AS KAM SHING RENMINBI EXCHANGE CO,金鍠有限公司 營業名稱 金城人民幣找換行,KAM SHING RENMINBI EXCHANGE CO.,金城人民幣找換行,,Specified Premises,指明處所,29/11/2023
SUNNY GOLDEN CORPORATION LIMITED TRADING AS KAM SHING RENMINBI EXCHANGE CO,金鍠有限公司 營業名稱 金城人民幣找換行,KAM SHING RENMINBI EXCHANGE CO.,金城人民幣找換行,,Specified Premises,指明處所,29/11/2023
SUNNY GOLDEN CORPORATION LIMITED TRADING AS KAM SHING RENMINBI EXCHANGE CO,金鍠有限公司 營業名稱 金城人民幣找換行,KAM SHING RENMINBI EXCHANGE CO.,金城人民幣找換行,,Specified Premises,指明處所,29/11/2023
SUNNY GOLDEN CORPORATION LIMITED TRADING AS KAM SHING RENMINBI EXCHANGE CO,金鍠有限公司 營業名稱 金城人民幣找換行,,中港人民幣找換行,,Specified Premises,指明處所,29/11/2023
SUNRATE SOLUTIONS LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
"SUNTONE TECHNOLOGY CO., LIMITED",索圖科技技術有限公司,,,,Correspondence Address,通訊地址,29/11/2023
SUPERIOR GLOBAL INTERNATIONAL (HONG KONG) LIMITED,高寶匯國際(香港)有限公司,KO PO HANG,高寳行,,Specified Premises,指明處所,29/11/2023
SURE SUCCESS (CHINA) LIMITED TRADING AS MOST LUCKY MONEY EXCHANGE,保成(中國)有限公司 營業名稱 匯展找換行,MOST LUCKY MONEY EXCHANGE,匯展找換行,,Specified Premises,指明處所,29/11/2023
SURE WELL SERVICES LIMITED,瑞威服務有限公司,,,,Specified Premises,指明處所,29/11/2023
SWIVEL TRADING LIMITED TRADING AS SWIVEL REMITTANCE,盈躍貿易有限公司 營業名稱 盈躍找換店,SWIVEL REMITTANCE,盈躍找換店,,Specified Premises,指明處所,29/11/2023
SZE WAI MING TRADING AS BRILLIANCE FOREX EXCHANGE,施偉明 營業名稱 益豐人民幣及外幣找換店,,益豐找換店,,Specified Premises,指明處所,29/11/2023
SZE YEUNG CHING TRADING AS MONEYEXCHANGE,施養正 營業名稱 萬源找換店,GOOD LUCK CURRENCY EXCHANGE,好運來找換行,,Specified Premises,指明處所,29/11/2023
T.SILVER MONEY EXCHANGE COMPANY LIMITED,泰銀找換有限公司,,,,Specified Premises,指明處所,29/11/2023
T8 PAYMENTS LIMITED,,,,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,,,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,TAI ON EXCHANGE AND REMITTANCE COMPANY,泰安找換匯款公司,,Specified Premises,指明處所,29/11/2023
TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,TAI ON RMB REMITTANCE COMPANY LIMITED,泰安人民幣滙款有限公司,,Specified Premises,指明處所,29/11/2023
SKYEE HONGKONG COMPANY LIMITED,收款易香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
SMALL GIRL MONEY EXCHANGE LIMITED,小女孩找換有限公司,LITTLE GIRL MONEY EXCHANGE,小女孩找換,,Specified Premises,指明處所,29/11/2023
SMART GLOCAL SERVICES LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
SMOOTH ACCESS CORPORATION LIMITED,都順有限公司,SMOOTH ACCESS CORPORATION LIMITED,都順有限公司,,Specified Premises,指明處所,29/11/2023
SMOOTH ACCESS CORPORATION LIMITED,都順有限公司,,,,Specified Premises,指明處所,29/11/2023
SO SIU CHOR TRADING AS C.K.M. REMINBI & FOREIGN EXCHANGE CO.,蘇少初 營業名稱 中港澳人民幣外幣找換行,,,,Specified Premises,指明處所,29/11/2023
SO WAI YU TRADING AS KMART TAIWAN,蘇惠茹 營業名稱 台灣柑仔店,KMART TAIWAN,KMART TAIWAN,,Specified Premises,指明處所,29/11/2023
SPEED TRADE LIMITED,匯速有限公司,,,,Specified Premises,指明處所,29/11/2023
SPEED TRADE LIMITED,匯速有限公司,SPEED TRADE LIMITED,匯速有限公司,,Specified Premises,指明處所,29/11/2023
STARTUPR BOOKS LIMITED TRADING AS CHEQLY,,,,,Correspondence Address,通訊地址,29/11/2023
STATRYS LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
SUCCESS MAX TRADING LIMITED,盛裕達貿易有限公司,TRUST PASS EXCHANGE,誠通找換,,Specified Premises,指明處所,29/11/2023
SUN DA EXCHANGE COMPANY LIMITED,迅達找換匯款有限公司,SUN DA EXCHANGE,迅達找換匯款,,Specified Premises,指明處所,29/11/2023
SUN FUNG FOREIGN EXCHANGE COMPANY LIMITED TRADING AS SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,新豐外幣找換有限公司 營業名稱 三興行找換滙款公司,SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,三興行找換滙款公司,,Specified Premises,指明處所,29/11/2023
SUN FUNG FOREIGN EXCHANGE COMPANY LIMITED TRADING AS SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,新豐外幣找換有限公司 營業名稱 三興行找換滙款公司,SUN HING GROUP EXCHANGE AND REMITTANCE COMPANY,新興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
SUN FUNG FOREIGN EXCHANGE COMPANY LIMITED TRADING AS SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,新豐外幣找換有限公司 營業名稱 三興行找換滙款公司,HANG FUNG GROUP EXCHANGE AND REMITTANCE COMPANY,恆豐集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
SUN FUNG FOREIGN EXCHANGE COMPANY LIMITED TRADING AS SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,新豐外幣找換有限公司 營業名稱 三興行找換滙款公司,SUN HING GROUP EXCHANGE AND REMITTANCE COMPANY,新興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
SUN FUNG FOREIGN EXCHANGE COMPANY LIMITED TRADING AS SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,新豐外幣找換有限公司 營業名稱 三興行找換滙款公司,WING FU GROUP EXCHANGE AND REMITTANCE COMPANY,永富集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
SUN FUNG FOREIGN EXCHANGE COMPANY LIMITED TRADING AS SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,新豐外幣找換有限公司 營業名稱 三興行找換滙款公司,HING YIP EXCHANGE AND REMITTANCE COMPANY,興業找換匯款公司,,Specified Premises,指明處所,29/11/2023
LAM YING TONG TRADING AS HAPPING CHANGE,林映彤 營業名稱 開心找換店,,,,Specified Premises,指明處所,29/11/2023
LAM YU HANG TRADING AS TOKO INDONESIA XIM SHING CHUEN,林宇恒 營業名稱 新盛泉東南亞食品,,,,Specified Premises,指明處所,29/11/2023
LAM'S BROTHER FOREIGN EXCHANGE LIMITED,林氏兄弟外幣兌換有限公司,,,,Specified Premises,指明處所,29/11/2023
LAM'S BROTHER FOREIGN EXCHANGE LIMITED,林氏兄弟外幣兌換有限公司,YU KING FOREIGN CURRENCY EXCHANGE,裕景外幣找換,,Specified Premises,指明處所,29/11/2023
LAM'S BROTHER FOREIGN EXCHANGE LIMITED,林氏兄弟外幣兌換有限公司,HONG KING FOREIGN CURRENCY EXCHANGE,康景找換店,,Specified Premises,指明處所,29/11/2023
LAM'S BROTHER FOREIGN EXCHANGE LIMITED,林氏兄弟外幣兌換有限公司,,林氏兄弟人民幣找換店,,Specified Premises,指明處所,29/11/2023
LAM'S BROTHER FOREIGN EXCHANGE LIMITED,林氏兄弟外幣兌換有限公司,WAH YU CURRENCYEXCHANGE,華裕外幣找換店,,Specified Premises,指明處所,29/11/2023
LAM'S BROTHER FOREIGN EXCHANGE LIMITED,林氏兄弟外幣兌換有限公司,WAH YU CURRENCY EXCHANGE,華裕外幣找換店,,Specified Premises,指明處所,29/11/2023
LANDMARK COMMERCE (HK) LIMITED,匯恒訊飛有限公司,,,,Correspondence Address,通訊地址,29/11/2023
LAU CHING CHE TRADING AS FULTON CO,劉清池 營業名稱 富東公司,,,,Specified Premises,指明處所,29/11/2023
LEE SHING EXCHANGE LIMITED,利昇找換有限公司,,,,Specified Premises,指明處所,29/11/2023
LEE SHING EXCHANGE LIMITED,利昇找換有限公司,LEE SHING EXCHANGE LIMITED,利昇找換有限公司,,Specified Premises,指明處所,29/11/2023
LEGENDARY TRADING LIMITED TRADING AS GOLDEN TREND MONEY EXCHANGE,廣澤貿易有限公司 營業名稱 金港匯找換店,GOLDEN TREND MONEY EXCHANGE,金港匯找換店,,Specified Premises,指明處所,29/11/2023
LEUNG KWAI FAN,梁桂芬 營業名稱 志興人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
LEUNG KWAI FAN,梁桂芬 營業名稱 志興人民幣找換行,,新志興找換行,,Specified Premises,指明處所,29/11/2023
LEUNG NGA SZE TRADING AS CHUNG CHEE RENMINBI EXCHANGE AND REMITTANCE COMPANY,梁雅詩 營業名稱 中資人民幣找換匯款公司,,,,Specified Premises,指明處所,29/11/2023
LEUNG WAI CHUN TRADING AS BIRDY EXCHANGE,梁維津,,,,Specified Premises,指明處所,29/11/2023
LI CHI LOK,李梓樂 營業名稱 東升食品,,,,Specified Premises,指明處所,29/11/2023
LI CHU,李初 營業名稱 中盛找換行,,,,Specified Premises,指明處所,29/11/2023
LI CHUN NING TRADING AS MING FAI TELECOM,李俊寧 營業名稱 明輝電訊,,,,Specified Premises,指明處所,29/11/2023
LI HUAQIN TRADING AS INDONESIA MAKANAN PASAR,李華琴 營業名稱 日日好印尼食品市場,,,,Specified Premises,指明處所,29/11/2023
LI LAI FAN TRADING AS EMPEROR EXCHANGE SHOP,李麗芬 營業名稱 英皇找換店,,,,Specified Premises,指明處所,29/11/2023
"LI MUK HING MIKE TRADING AS LI, SHIU & CO",李木興,"LI, SHIU & CO.",,,Specified Premises,指明處所,29/11/2023
LI YANGHENG,李揚恒 營業名稱 鵬偉找換店,,,,Specified Premises,指明處所,29/11/2023
LI YANGHENG,李揚恒 營業名稱 鵬偉找換店,,鵬偉找換店,,Specified Premises,指明處所,29/11/2023
LIAN HUI DEVELOPMENT LIMITED TRADING AS LIAN HUI MONEY EXCHANGE,聯匯實業發展有限公司 營業名稱 聯滙找換,LIAN HUI MONEY EXCHANGE,聯滙找換,,Specified Premises,指明處所,29/11/2023
LIANG HAU LING TRADING AS MURNI TOKO INDONESIA,梁巧玲 營業名稱 萬利印尼土產食品商店,,,,Specified Premises,指明處所,29/11/2023
LIANLIAN INTERNATIONAL COMPANY LIMITED,連連國際支付有限公司,,,,Correspondence Address,通訊地址,29/11/2023
LIE SIU CHUEN TRADING AS ASIA FOOD,李霄泉,,,,Specified Premises,指明處所,29/11/2023
LIN HUI ZHI TRADING AS CHOW KEE MONEY EXCHANGE CO.,林惠枝 營業名稱 周記人民幣找換公司,,,,Specified Premises,指明處所,29/11/2023
LING'S LIMITED,齡氏有限公司 營業名稱 玲玲子合法找換,,,,Specified Premises,指明處所,29/11/2023
LINKLOGIS INTERNATIONAL COMPANY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
LITE PAY COMPANY LIMITED,利達支付有限公司,,,,Correspondence Address,通訊地址,29/11/2023
LIU SHUN CHING TRADING AS TOKO INDONESIA MURAH,廖順正 營業名稱 永順東南亞食品,,,,Specified Premises,指明處所,29/11/2023
LIU WAI NEI TRADING AS TOKO SANG HING LUNG INDO,廖偉彌 營業名稱 生興隆,,,,Specified Premises,指明處所,29/11/2023
LIU WAI NEI TRADING AS TOKO SANG HING LUNG INDO,廖偉彌 營業名稱 生興隆,TOKO SANG HING LUNG INDO,生興隆雜貨,,Specified Premises,指明處所,29/11/2023
LO HO YIN DANIEL TRADING AS TOKO INDONESIA ANA,盧浩賢,,,,Specified Premises,指明處所,29/11/2023
LO HO YIN DANIEL TRADING AS TOKO INDONESIA ANA,盧浩賢,TOKO INDONESIA ANA,,,Specified Premises,指明處所,29/11/2023
LOYAL CO,永恒公司,,,,Specified Premises,指明處所,29/11/2023
LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,,,,Specified Premises,指明處所,29/11/2023
LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,,Specified Premises,指明處所,29/11/2023
LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,,Specified Premises,指明處所,29/11/2023
LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,,Specified Premises,指明處所,29/11/2023
LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,LUCKY MONEY EXCHANGE LIMITED,幸運來找換有限公司,,Specified Premises,指明處所,29/11/2023
LUCKY STAR MANAGEMENT LIMITED TRADING AS IREMIT,褔星管理有限公司,IREMIT,,,Specified Premises,指明處所,29/11/2023
LUCKY STAR MANAGEMENT LIMITED TRADING AS IREMIT,褔星管理有限公司,IREMIT,,,Specified Premises,指明處所,29/11/2023
LUFTHANSA AIRPLUS SERVICEKARTEN GESELLSCHAFT MIT BESCHRANKTER HAFTUNG TRADING AS AIRPLUS INTERNATIONAL,,,,,Correspondence Address,通訊地址,29/11/2023
LUI CHI WAI TRADING AS WING LUNG REMINBI EXCHANGE CO.,呂志偉 營業名稱 永隆人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
LUI HIU SHAN TRADING AS COME COME SOUTHEAST ASIAN FOOD STORES,呂曉珊 營業名稱 來來東南亞食品,COME COME SOUTHEAST ASIA,來來東南亞,,Specified Premises,指明處所,29/11/2023
LULU FINANCIAL SERVICES (HONG KONG) LIMITED TRADING AS LULU MONEY,,LULU MONEY,,,Specified Premises,指明處所,29/11/2023
LULU FINANCIAL SERVICES (HONG KONG) LIMITED TRADING AS LULU MONEY,,LULU MONEY,,,Specified Premises,指明處所,29/11/2023
LULU FINANCIAL SERVICES (HONG KONG) LIMITED TRADING AS LULU MONEY,,LULU MONEY,,,Specified Premises,指明處所,29/11/2023
LULU FINANCIAL SERVICES (HONG KONG) LIMITED TRADING AS LULU MONEY,,LULU MONEY,,,Specified Premises,指明處所,29/11/2023
LULU FINANCIAL SERVICES (HONG KONG) LIMITED TRADING AS LULU MONEY,,LULU MONEY,,,Specified Premises,指明處所,29/11/2023
LUNG SING INVESTMENT INTERNATIONAL LIMITED TRADING AS LI YUEN MONEY EXCHANGE,隆盛投資國際有限公司 營業名稱 利源找換匯款專門店,LI YUEN MONEY EXCHANGE,利源找換匯款專門店,,Specified Premises,指明處所,29/11/2023
LUNG TENG HUI LIMITED,隆騰薈有限公司 營業名稱 Q找換店,,Q找換店,,Specified Premises,指明處所,29/11/2023
LUO CIHUI,羅慈惠 營業名稱 順達找換行,,,,Specified Premises,指明處所,29/11/2023
MA MEI WA TRADING AS TOKO NO1 INDONESIA,馬美華 營業名稱 第一印尼,,,,Specified Premises,指明處所,29/11/2023
MA XIUJUAN TRADING AS HONG KONG HUIKE CO.,马秀娟 營業名稱 香港滙客公司,,,,Specified Premises,指明處所,29/11/2023
MA XIUJUAN TRADING AS HONG KONG HUIKE CO.,马秀娟 營業名稱 香港滙客公司,HONG KONG HUIKE CO.,香港匯客公司,,Specified Premises,指明處所,29/11/2023
MA XIUJUAN TRADING AS HONG KONG HUIKE CO.,马秀娟 營業名稱 香港滙客公司,HONG KONG HUIKE CO.,香港滙客公司,,Specified Premises,指明處所,29/11/2023
MAGPIE FOREX LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
MAK KWOK HUNG TRADING AS WING FUNG NATIVE PRODUCTS CENTRE,麥國洪 營業名稱 永豐東南亞土產,,,,Specified Premises,指明處所,29/11/2023
MAN TAT (HONG KONG) GROUP COMPANY LIMITED,萬達(香港)集團有限公司,MAN TAT MONEY EXCHANGE,萬達找換,,Specified Premises,指明處所,29/11/2023
MANGOSTEEN LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
MAX SMART GROUP LIMITED,萬卓集團有限公司 營業名稱 萬卓找換行,,萬卓找換行,,Specified Premises,指明處所,29/11/2023
MAX SMART GROUP LIMITED,萬卓集團有限公司 營業名稱 萬卓找換行,,萬卓找換行,,Specified Premises,指明處所,29/11/2023
MAY CHOW RMB MONEY EXCHANGE CO,美洲人民幣找換公司,,,,Specified Premises,指明處所,29/11/2023
MEGA TEAM TECHNOLOGY LIMITED,百盟科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
MEI SHING EXCHANGE LIMITED,美誠找換有限公司,,,,Specified Premises,指明處所,29/11/2023
MERCHANTS CENTURY LIMITED,招商世紀有限公司,FU WAH MONEY EXCHANGE,富華找換,,Specified Premises,指明處所,29/11/2023
MERCHANTS CENTURY LIMITED,招商世紀有限公司,FU WAH MONEY EXCHANGE,富華找換,,Specified Premises,指明處所,29/11/2023
MERCHANTS CENTURY LIMITED,招商世紀有限公司,FU WAH MONEY EXCHANGE,富華找換,,Specified Premises,指明處所,29/11/2023
MERCHANTS CENTURY LIMITED,招商世紀有限公司,FU WAH MONEY EXCHANGE,富華找換,,Specified Premises,指明處所,29/11/2023
MERCHANTS CENTURY LIMITED,招商世紀有限公司,FU TAT MONEY EXCHANGE,富達找換,,Specified Premises,指明處所,29/11/2023
MERCHANTS CENTURY LIMITED,招商世紀有限公司,FU WAH MONEY EXCHANGE,富華找換,,Specified Premises,指明處所,29/11/2023
MERCURY ASIA LIMITED,,MERCURY ASIA LIMITED,,,Specified Premises,指明處所,29/11/2023
MERRY WIND LIMITED TRADING AS MERRY WIND REMINBI EXCHANGE CO.,天風順有限公司 營業名稱 天風順人民幣找換行,MERRY WIND REMINBI EXCHANGE CO.,天風順人民幣找換行,,Specified Premises,指明處所,29/11/2023
MERRY WIND LIMITED TRADING AS MERRY WIND REMINBI EXCHANGE CO.,天風順有限公司 營業名稱 天風順人民幣找換行,CHUNG YING REMINBI EXCHANGE CO.,中英人民幣找換行,,Specified Premises,指明處所,29/11/2023
METRO REMITTANCE (HONG KONG) LIMITED TRADING AS METROREMIT,大都匯款(香港)有限公司,METROREMIT,,,Specified Premises,指明處所,29/11/2023
METRO REMITTANCE (HONG KONG) LIMITED TRADING AS METROREMIT,大都匯款(香港)有限公司,METROREMIT,,,Specified Premises,指明處所,29/11/2023
METRO REMITTANCE (HONG KONG) LIMITED TRADING AS METROREMIT,大都匯款(香港)有限公司,METROREMIT,,,Specified Premises,指明處所,29/11/2023
METRO REMITTANCE (HONG KONG) LIMITED TRADING AS METROREMIT,大都匯款(香港)有限公司,METROREMIT,,,Specified Premises,指明處所,29/11/2023
METRO REMITTANCE (HONG KONG) LIMITED TRADING AS METROREMIT,大都匯款(香港)有限公司,METROREMIT,,,Specified Premises,指明處所,29/11/2023
METRO REMITTANCE (HONG KONG) LIMITED TRADING AS METROREMIT,大都匯款(香港)有限公司,METROREMIT,,,Specified Premises,指明處所,29/11/2023
MG FOREIGN EXCHANGE LIMITED,萬兆豐國際匯業有限公司,,,,Specified Premises,指明處所,29/11/2023
MIG WORLDLINK EXPRESS LIMITED TRADING AS IME HONG KONG,,IME HONG KONG,,,Specified Premises,指明處所,29/11/2023
MIGHTY VANTAGE LIMITED TRADING AS HING YIK SHING,大宇有限公司 營業名稱 興益成,,,,Specified Premises,指明處所,29/11/2023
MIGHTY VANTAGE LIMITED TRADING AS HING YIK SHING,大宇有限公司 營業名稱 興益成,GRAND SOURCE EXCHANGE,鴻源兌滙,,Specified Premises,指明處所,29/11/2023
MING SHING MONEY EXCHANGE AND REMITTANCE COMPANY,銘誠找換滙款公司,MING SHING MONEY EXCHANGE AND REMITTANCE COMPANY,銘誠找換滙款公司,,Specified Premises,指明處所,29/11/2023
MING SHING RMB MONEY EXCHANGE,明昇人民幣找換店,MING SHING RMB MONEY EXCHANGE,明昇人民幣找換店,,Specified Premises,指明處所,29/11/2023
MOHAMMAD IBRAR TRADING AS PAK WORLDWIDE COMPANY,簡志華,,,,Specified Premises,指明處所,29/11/2023
MOHAMMAD IBRAR TRADING AS PAK WORLDWIDE COMPANY,簡志華,PAK WORLDWIDE COMPANY,,,Specified Premises,指明處所,29/11/2023
MOHAMMAD IBRAR TRADING AS PAK WORLDWIDE COMPANY,簡志華,PAK WORLDWIDE COMPANY,,,Specified Premises,指明處所,29/11/2023
MONEY MALL INTERNATIONAL LIMITED TRADING AS MONEY MALL REMITTANCE,錢商國際有限公司 營業名稱 錢商匯款,MONEY MALL REMITTANCE,錢商匯款,,Specified Premises,指明處所,29/11/2023
MONEYCORP (HONG KONG) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
MONEYGRAM PAYMENT SYSTEMS HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
MONEYMATCH (HONG KONG) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
MONEYNETINT LTD,,,,,Correspondence Address,通訊地址,29/11/2023
MONEYTT (HONG KONG) LIMITED TRADING AS MONEYTT,香港特快匯款有限公司 營業名稱 特快匯款,MONEYTT,特快滙款,,Specified Premises,指明處所,29/11/2023
MONEYTT (HONG KONG) LIMITED TRADING AS MONEYTT,香港特快匯款有限公司 營業名稱 特快匯款,MONEYTT,特快匯款,,Specified Premises,指明處所,29/11/2023
MONEYTT (HONG KONG) LIMITED TRADING AS MONEYTT,香港特快匯款有限公司 營業名稱 特快匯款,FUNG SHING MONEY TT,豐盛找換,,Specified Premises,指明處所,29/11/2023
MPHK MANAGEMENT COMPANY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
NEAT LIMITED TRADING AS RAPYD,,,,,Correspondence Address,通訊地址,29/11/2023
NETEASE GLOBAL PAY COMPANY LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
NEW UNITED MONEY EXCHANGE LIMITED,金聯找換店有限公司,,,,Correspondence Address,通訊地址,29/11/2023
NG MUI YING TRADING AS FU WING CO,吳梅英 營業名稱 富榮公司,,,,Specified Premises,指明處所,29/11/2023
NG SIU BEN TRADING AS 3SING CURRENCY EXCHANGE,伍少斌 營業名稱 三昇聯匯,,,,Specified Premises,指明處所,29/11/2023
NG YU MEI JESSMINE TRADING AS TOKO MULIA,吳雨薇 營業名稱 千悅食品,,,,Specified Premises,指明處所,29/11/2023
NGAI HING MONEY EXCHANGE CO LIMITED,毅興外幣找換有限公司,,,,Specified Premises,指明處所,29/11/2023
NGAI HON CHUN TRADING AS SUZANA TOKO INDONESIA,魏漢俊 營業名稱 東南亞食品,,,,Specified Premises,指明處所,29/11/2023
