Period,MLR_No,Licensee_Name_Eng,Licensee_Name_Chi,Hotline,Third_Party_Eng,Third_Party_Chi,Third_Party_Addr_Eng,Third_Party_Addr_Chi,Reg_Date
As at 12:00 noon of 3 January 2022 ,5896,Hoi San Investment Limited,海晨投資有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5559,Hoi Wang Enterprise Limited,海泓環球有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,2815,HOL Finance Limited,-,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5908,Holly Rich Credit Limited,賀進信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5900,Hollywood Mortgage Limited ,荷李活按揭有限公司,5400 4660,TUNG TAT INTERNATIONAL GROUP LIMITED,通達國際集團有限公司,"G/F, NO.32, 5TH LANE TAI YUEN TSUEN, SHEUNG SHUI, N.T., HK",,7/10/2021
As at 12:00 noon of 3 January 2022 ,5900,Hollywood Mortgage Limited ,荷李活按揭有限公司,5400 4660,Prestige Fine Wines Limited,名仕酒業有限公司,"FLAT/RM 404, 4/F, KNUTSFORD COMMERCIAL BLDG, 4-5 KNUTSFORD TERRACE, TSIM SHA TSUI, KOWLOON",,9/11/2021
As at 12:00 noon of 3 January 2022 ,5900,Hollywood Mortgage Limited ,荷李活按揭有限公司,5400 4660,EAST BEST DEVELOPMENT LIMITED,恒東發展有限公司,"FLAT/RM 3, 27/F, HO KING COMM CTR, NO 2-16 FA YUEN STREET, MONGKOK, KOWLOON",,9/11/2021
As at 12:00 noon of 3 January 2022 ,5954,Home Mortgage Finance Company Limited,家按融資有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5417,Homerich Finance Limited,家富財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,1540,Honest Billion Investment Limited,誠億投資有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5421,Honest Credit Limited,致誠信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4411,Honest Smart Finance Limited,傑誠財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5666,Honey Bee Finance Limited,蜜蜂金控有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4652,Hong Jian Company Limited,鴻楗有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,6118,Hong Ki Consultant Limited,康麒顧問有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,2860,Hong Kong Builders Finance Limited,港建財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Qfang Network (Hongkong) Agency Limited ,云房網絡(香港)代理有限公司,"Room 3603-06, 36/F, Ace Tower, Windsor House, 311 Gloucester Road, Causway Bay, Hong Kong",,2/12/2016
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Venture Smart Services Limited,,"Unit 501, AXA Centre, 151 Gloucester Road, Wanchai, Hong Kong.",,2/12/2016
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,ESC INTERNATIONAL LIMITED ,駿才(人力資源)顧問有限公司,"Room 303 East Ocean Centre, 98 Granville Road, TsimShaTsui East, Kowloon Hong Kong",,2/12/2016
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,BIDMOR LIMITED ,貸款平台有限公司,"Unit 308-313, 3/F, Enterprise, Place No 5 Science Park West, Avenue Shatin, N.T.",,2/12/2016
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Kapital Oasis Management Limited ,博達策劃管理有限公司,"338 Hennessy Road, CNT Tower 5E, Waichai, Hong Kong",,2/12/2016
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,MREFERRAL CORPORATION (HK) LIMITED ,經絡集團(香港)有限公司,"No. 1803, 18th Floor, Tower 1, Admiralty Centre, No. 18, Harcourt Road, Hong Kong",,2/12/2016
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Peak Wealth Asset Management Limited ,峯裕資產管理有限公司,"Unit 1111, 11/F, CEO Tower 77, Wing Hong St., Cheung Sha Wan, Kowloon, Hong Kong",,31/3/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Loan Solutions Limited ,貸款轉介有限公司,"UNIT A, 7/F, PICO TOWER, 66 GLOUCESTER RD, WANCHAI, HK",,31/3/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,HONG KONG REAL ESTATE AGENCIES GENERAL ASSOCIATION LIMITED ,香港地產代理商總會有限公司,"Flat/Room D, 1/F., Winning House, 10-16 Cochrane Street, Central, Hong Kong",,31/3/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,GL BUSINESS CONSULTANCY LIMITED ,計霖工商顧問有限公司,"Flat M, 17/F, Universal Industrial Centre, 19-25 Shan Mei Street, Fotan, NT.",,31/3/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Good View Property Consultant Co,,"G/F, No. 43 Sun Hing Praya Road, Cheung Chau Hong Kong.",,31/3/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,DR. MORTGAGE BROKER LIMITED ,樓按博士按揭經紀有限公司,"Unit 2812, 28/F., Global Gateway Tower, No. 63 Wing Hong Street, Kowloon.",,18/7/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,SINCERE INTERNATIONAL CONSULTANTS LIMITED ,柏鍵國際顧問有限公司,"Room 503, 5/F., Mary Building, 71-77 Peking Road, Tsim Sha Tsui, Kowloon.",,18/7/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,KHWY (HK) COMPANY LIMITED ,景滙宏業(香港)有限公司,"Room 126, 4/F, 45-51 Tai Lin Pai Road, The Venu Industrial Building, Kwai Chung, Hong Kong.",,18/7/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Sinocorp Asset Management (Asia) Limited ,信和資產管理(亞洲)有限公司,"Unit 901B, Cheung Sha Wan Plaza, Tower 2, No. 833 Cheung Sha Wan Road, Kowloon.",,18/7/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Free Mortgage Referral Brokerage Limited ,免費按揭轉介經紀有限公司,"Room 19, 7/F, New Mandarin Plaza, 14 Science Museum Road, Tsim Sha Tsui, Kowloon",,20/7/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,HONOR CONSULTANTS PLANNING LIMITED ,海納顧問策劃有限公司,"Room 2, 8/F, Officeplus@Prince Edward, 794-802 Nathan Road, Prince Edward, Kowloon.",,20/7/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,KWAN HUNG COMPANY LIMITED ,筠鴻有限公司,"Flat F, G/F, 97 Apliu Street, Sham Shui Po, Kowloon.",,14/11/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Peak Wealth Asset (H.K.) Company Limited ,峯裕資產(香港)有限公司,"Unit 1111, 11/F, CEO Tower, No. 77 Wing Hong Street, Cheung Sha Wan, Kowloon.",,14/11/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Complete Co.,,"Flat 1403, 14/F, AXA Centre, Wan Chai, Hong Kong.",,14/11/2017
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,CITIKING LIMITED,,"Flat A, 23/F., Kingswell Commercial Tower, 171-173 Lockhart Road, Wan Chai, Hong Kong.",,31/7/2018
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,SIX ONE CAPITAL MANAGEMENT LIMITED ,陸一資本管理有限公司,"Flat 06, Blk 6, 18/F, China Hong Kong City, 33 Canton Road, Tsim Sha Tsui, Kowloon.",,31/7/2018
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Associates Asset (H.K) Company Limited ,凱聯資產(香港)有限公司,"Unit A, Rm 21, 17/F., Billion Plaza 2, No. 10 Cheung Yue Street, Cheung Sha Wan, Kowloon.",,6/8/2018
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Pak Yu Consultant Co. Limited ,栢瑜顧問有限公司,"Room 709-710, Tower 1, Silvercord, 30 Canton Road, Tsimshatsui, Kowloon.",,16/10/2018
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,EMWCSL ADVISORY SERVICES LIMITED ,楠釧咨詢服務有限公司,"Flat A, 4/F., Wing Yee Commercial Building, 3-7 Wing Kut Street, Central, Hong Kong ",,27/11/2018
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,CENTALINE MORTGAGE BROKER LIMITED ,中原按揭經紀有限公司,"22/F, Tower 1, New World Tower, 18 Queen's Road Central, Hong Kong.",,22/5/2019
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,GLORY BEST ENTERPRISES LIMITED ,順佳企業有限公司,"Room 602, 6th Floor, Asia Standard Tower, 59-65 Queen's Road Central, Hong Kong.",,22/5/2019
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,SPLENDOR CAPITAL FINANCE LIMITED ,卓智財務融資有限公司,"11/F, 83 Wanchai Road, Wanchai, Hong Kong.",,11/7/2019
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,EC Mortgage Referral Company Limited ,按揭易有限公司,"Flat/ Rm 730, Star House, 3 Salisbury Road, Tsim Sha Tsui",,11/7/2019
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Wellytech Property Agency Company Limited ,蔚利達物業代理有限公司,"Flat V8, 11/F., Everest Industrial Centre, No. 396 Kwun Tong Road, Kwun Tong, Kowloon",,14/10/2019
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,FELICE GROUP LIMITED ,莉時集團有限公司,"Unit 05, 15/F, Trendy Centre, No.682 Castle Peak Road, Kowloon",,6/12/2019
As at 12:00 noon of 3 January 2022 ,4059,Hong Kong Capital Finance Corporation Limited,香港金融資本集團有限公司,3101 9898,Smart Jumbo Holdings Company Limited,瀯富控股有限公司,"22/F., Hong Xiang Centre, 83 Queen's Road East, Wanchai, Hong Kong",,23/8/2021
As at 12:00 noon of 3 January 2022 ,3596,Hong Kong City Finance Group Company Limited,香港城市貸款集團有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,2660,Hong Kong Credit Corporation Limited,香港金融信貸有限公司,3601 6338,DR. MORTGAGE BROKER LIMITED ,樓按博士按揭經紀有限公司,"Unit 2812, 28/F. Global Gateway Tower, 63 Wing Hong Street, KLN",,6/12/2018
As at 12:00 noon of 3 January 2022 ,2660,Hong Kong Credit Corporation Limited,香港金融信貸有限公司,3601 6338,PANDA INFORMATION LIMITED ,熊貓資訊有限公司,"Rm 3205, Clifford Centre, 778-784 Cheung Sha Wan Road, Cheung Sha Wan, KLN",,14/6/2019
As at 12:00 noon of 3 January 2022 ,5573,Hong Kong Credit Finance Limited,香港信用財務有限公司,2803 2060,LENDELA LIMITED,,"Unit 1109, 11/F., Dominion Centre, 43-59 Queen's Road East, Wanchai, Hong Kong",,22/9/2020
As at 12:00 noon of 3 January 2022 ,5573,Hong Kong Credit Finance Limited,香港信用財務有限公司,2803 2060,QLOAN LIMITED,,"Unit 1006, 10/F., Huston Centre, 63 Mody Road, Tsimshatsui, Kowloon",,1/6/2021
As at 12:00 noon of 3 January 2022 ,5573,Hong Kong Credit Finance Limited,香港信用財務有限公司,2803 2060,MONEY PLAZA (HONG KONG) LIMITED,金錢廣場(香港)有限公司,"Room 21, 5/F., One Midtown, 11 Hoi Shing Road, Tsuen Wan, New Territories",,3/6/2021
As at 12:00 noon of 3 January 2022 ,5573,Hong Kong Credit Finance Limited,香港信用財務有限公司,2803 2060,Kai Wing Development Limited ,佳穎發展有限公司,"1/F., Evergory Centre, 18 Kimberley Street, Tsim Sha Tsui, Kowloon",,28/6/2021
As at 12:00 noon of 3 January 2022 ,5573,Hong Kong Credit Finance Limited,香港信用財務有限公司,2803 2060,TAITAT COMPANY LIMITED,貨達有限公司,"Unit 1109, 11/F., Tower 2, Enterprise Square Phase 1, 9 Sheung Yuet Road, Kowloon Bay, Kowloon",,23/11/2021
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,HONG KONG GOLDEN EXPRESS LIMITED ,香港金捷有限公司,"Flat/Rm 106, 4/F Maidstone Road, Tokwawan, Kowloon",,14/12/2016
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Tsang Fuk Chuen Henry,曾福全,"Flat 516, 5/F, Yan Tin House, Hing Tin Estate, Lam Tin, Kowloon",,14/12/2016
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,EA Consultant Co. ,歐亞賬務顧問公司,,九龍尖沙咀厚福街3號華博商業大廈6/F 603室,14/12/2016
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,SY PROFESSIONAL SERVICE COMPANY LIMITED ,誠因服務有限公司,"Room 1801, 18/F., Rykadan Capital Tower, 135 Hoi Bun Road, Kwun Tong, Kowloon, HK",,14/12/2016
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Vigor Mortgage Consultancy Limited ,優越按揭顧問有限公司,"Flat 1110, 11/F, HSH Mongkok Plaza, No. 794-802 Nathan Road, Kowloon",,5/1/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,PROFESSIONAL INFORMATION CENTRE (HK) LIMITED ,專業資訊中心(香港)有限公司,"Unit A-E, 23/F, Billion Plaza 2, No. 10 Cheung Yue Street, Cheung Sha Wan, Kowloon, Hong Kong",,5/1/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Great Country Property Management Company,大國資產管理公司,"1/F, 46 Johnston Road, Wanchai, HK",,21/3/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,HONG KONG RELIANCE ACCOUNTING AFFAIRS LIMITED ,中信(香港)會計事務所有限公司,"FLAT/RM 103, PARK TOWER, 15 AUSTIN ROAD, KLN",,12/4/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,HANG SHUN ACCOUNTING AFFAIRS LIMITED ,恒信會計事務所有限公司,"FLAT/RM 1613A, 16/F, MIRAMAR TOWER, 132 NATHAN ROAD, TST",,8/8/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,PROFESSIONAL INFORMATION CENTER (HK) COMPANY,專業資訊中心(香港)公司,,九龍長沙灣長裕街10號億京廣場2期23樓A-E室,8/8/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,TRUSTY CENTURY LIMITED ,信用世紀有限公司,FLAT/RM 1101 11/F GINZA PLAZA NO.2A SAI YEUNG CHOI STREET SOUTH KL,,8/8/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,ALL PROFIT (ASIA) COMPANY,全利(亞洲)公司,,九龍尖沙咀山林道46-48號運通商業大廈一樓24號舖,9/8/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,AKA STRATEGIC PLANNING LIMITED ,一嘉諮詢策劃有限公司,,九龍旺角亞皆老街8號朗豪坊辦公大樓26樓2611室,18/8/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Kapital Oasis Management Limited ,博達策劃管理有限公司,FLAT/RM E 5/F CNT TOWER 338 HENNESSY ROAD WANCHAI,,18/8/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Competence Mortgage Consultancy Limited ,實力按揭顧問有限公司,FLAT/RM 02 18/F KOWLOON BUILDING 555 NATHAN ROAD YAU MA TEI KL,,5/9/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Manulax Trading Limited ,宏方貿易有限公司,"FLAT E, 7/F, SOUTHTEX BLDG, NO.51 TSUN YIP STREET, KWUN TONG, HK",,26/9/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Ho Sun Mortgage Solutions Limited ,昊陽信貸策劃有限公司,FLAT/ RM 701 STERLING CENTRE 11 CHEUNG YUE STREET CHEUNG SHA WAN,,9/10/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Better Life International Limited ,比達國際有限公司,"RM202 2/F, MEI TUNG HSE, MEI TUNG EST, KOWLOON CITY, HONG KONG ",,9/10/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,GL BUSINESS CONSULTANCY LIMITED ,計霖工商顧問有限公司,"FLAT/RM M, 17/F, UNIVERSAL IND CTR, 19-25 SHAN MEI ST, FOTAN, N.T.",,17/10/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,EXTRA LIMITED,,FLAT /RM 2202 22/F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN KL,,17/10/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,LAW'S ACCOUNTING CO.,羅氏會計事務所,"FLAT/RM 2611, OFFICE TOWER LANGHAM PLACE 8 ARGYLE STREET MONG KOK",,25/10/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,CREATIVE IDEOLOGY PROPERTY AGENCY LIMITED ,創維物業代理有限公司,FLAT/RM 07-08 4/F HING YIP COMMERCIAL CENTRE 272-284 DES VOEUX ROAD CENTRAL SHEUNG WAN HK,,6/11/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Feng Ming Global Int'l Company Limited ,豐明環球國際有限公司,FLAT/RM 606 6/F AUSTIN TOWER PHASE 1 NOS 152-152A AUSTIN ROAD & NOS 22-26A AUSTIN AVENUE KL,,8/11/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,GOLDEN REVENUE REFERRAL AGENT COMPANY,金利按揭轉介公司,,九龍旺角亞皆老街16號旺角商業大廈21樓2104室,9/11/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,YIM KAR MING,嚴嘉銘,"RM 1811, TIN MING HSE, TIN PING EST, SHEUNG SHUI, NT",,21/11/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,SINCERE INTERNATIONAL CONSULTANTS LIMITED ,柏鍵國際顧問有限公司,FLAT/RM 502A 5/F MARY BUILDING 71-77 PEKING ROAD TSIM SHA TSUI KL,,21/11/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Professional Mortgage Referral Co. ,匯信物業按揭轉介,,香港荃灣沙咀道362號全發商業大廈19樓09室,5/12/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,PACIFIC SMART CONSULTANTS LIMITED ,順利顧問有限公司,"FLAT/RM 1602, 16/F., EVERPROFIT COMMERCIAL BUILDING, 36 KO SHING STREET, SHEUNG WAN",,14/12/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Fantastic Carnival Company Limited ,反斗星嘉年華有限公司,"UNIT 813, 8/F SUI YING IND BLDG 1 YUK YAT ST 41 LOK SHAN RD TO KWA WAN KL",,22/12/2017
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Business Solutions Service Limited ,浤基商務香港有限公司,FLAT/RM 5 7/F HIP KWAN COM'L BLDG 38 PITT ST YAU MA TEI KL,,3/1/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,EAST LUCK CONSULTANTS LIMITED ,東裕顧問有限公司,FLAT/RM 1811 18/F FORTUNE COMMERCIAL BUILDING 362 SHA TSUI ROAD TSUEN WAN NT,,26/1/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Lokson Sumptuous Asset Limited ,諾信豐盛資產有限公司,FLAT/RM B 1/F 133-135 KWAI LAM STREET SHUMSHUIPO KL,,26/1/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Cheng Wing Yan,鄭詠恩,FLAT D 3/F BLK B GRANDVIEW GDN 71 PAU CHUNG ST TO KWA WAN KLN,,29/1/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Lam Chun Yu,林震宇,ROOM A 67A 6/F CHUNG SHUN BUILDING 67 SHANTUNG STREET MONGKOK KLN,九龍旺角山東街67A號忠信大廈6/F 67A室A房,30/1/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,MARLBO CONSULTANCY & ACCOUNTING COMPANY LIMITED ,萬寶顧問及會計有限公司,,九龍長沙灣永康街77號環薈中心11樓9室,1/2/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,EIGHTY DEVELOPMENT COMPANY,捌十發展公司,FLAT/RM 04 07/F HO KING COMMERCIAL CENTRE 2-16 FA YUEN STREET MONG KOK KL,,5/2/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,SMART FINANCIAL CONSULTANTS LIMITED ,財駿理財顧問有限公司,FLAT/RM C 18/F HARVARD COMMERCIAL BUILDING 105 THOMSON ROAD WANCHAI HK,,22/2/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,MYCHOICES MORTGAGE SOLUTIONS (HK) LIMITED ,焯檢信貸策劃有限公司,"FLAT/RM 02-03, 26/F, BEA TOWER, MILLENNIUM CITY 5, 418 KWUN TONG ROAD, KWUN TONG KL",,22/2/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Hoi Tin International Planning Co. Limited ,愷天國際策劃有限公司,ROOM 2512 LANGHAM PLACE OFFICE TOWER 8 ARGYLE STREET MONGKOK KL ,,9/3/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Huntington Family Group Limited ,恆地集團有限公司,,香港九龍長沙灣大南西街615-617號百福工業大廈4樓06室,26/3/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Fung Kin Wai,馮健威,RM 1120 11/F PH 2 UN CHI HSE UN CHAU EST CHEUNG SHA WAN KLN,,9/4/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Tang Tat Commercial Limited ,騰達商業有限公司,"Unit C, 4/F, China Insurance Bldg., 48 Cameron Road, Tsim Sha Tsui, Kowloon, Hong Kong",,18/4/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Free Mortgage Referral Brokerage Limited ,免費按揭轉介經紀有限公司,RM 19 7/F BLOCK B NEW MANDARIN PLAZA 14 SCIENCE MUSEUM ROAD TSIM SHA TSUI HK,,15/5/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,NET EXPRESS LIMITED ,網通有限公司,"FLAT/RM 1, BLK D, 07/F, MERLIN CTR, 65 PO ON ROAD, CHEUNG SHA WAN, KL.",,13/7/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,Premier Financial Limited ,優越信貸有限公司,UNIT 02 11/F BRIGHT WAY TOWER NO.33 MONG KOK ROAD KLN,,11/9/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,UNITRUTH CORPORATE CONSULTANT FIRM,真富道企業顧問行,FLAT/RM 2301 BLK B3-B4 NAN FUNG CENTRE TSUEN WAN NT,,18/9/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,W . T Capital (Asia) Limited ,宏泰資本(亞洲)有限公司,"FLAT 1503B,15/F,NAN FUNG CENTRE,264/298 CASTLE PEAK ROAD, TSUEN WAN HONG KONG",,12/10/2018
As at 12:00 noon of 3 January 2022 ,3994,Hong Kong Credit Mortgage Limited,港業按揭有限公司,3701 3333,HONG KONG CAPITAL RESOURCE CO. LIMITED,港基行(亞太)有限公司,FLAT/RM 1101 PENINSULA CENTRE 67 MODY ROAD TSIM SHA TSUI EAST KL,,14/11/2018
